Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,4.654235807765058
35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,9.342564063236468
38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,10.63550381978504
27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20.27482443957847
20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,14.013292380751501
37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,9.172093326077004
22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,13.67357457006374
,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,8.947201762058604
38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,17.287005375714283
,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,2.9827935343309897
34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,13.603039147231586
35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,9.069689423430795
29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,12.202202322127725
20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,3.1072586381007383
26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,9.309187195922611
37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20.170021623155012
30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,13.755335581272663
37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,19.867676213805495
23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,7.786052633777876
22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,16.841157787761777
38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,9.050986798086186
29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,1.531302762197395
20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,16.892289126576216
30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,7.785598085763762
24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,19.904854339933596
28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,12.456240808818132
39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,11.000823613167864
29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,13.176640105878622
33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,13.60404763881213
35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,13.96317674302264
